Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Variable_index,Variable_name
Ping_index,328,329,330,331,332,333,335,336,337,338,339,340,341,343,344,345,
Ping_date,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,
Ping_time,16:42:45,16:42:46,16:42:46,16:42:46,16:42:46,16:42:46,16:42:47,16:42:47,16:42:47,16:42:47,16:42:48,16:42:48,16:42:48,16:42:48,16:42:49,16:42:49,
Ping_milliseconds,915.0,116.0,316.0,516.0,717.0,915.0,316.0,516.0,716.0,915.0,116.0,315.0,515.0,917.0,115.0,315.0,
Range,16.0022179200,15.9557673600,15.9209294400,15.8744788800,15.9906052800,15.8048030400,15.9557673600,15.7931904000,15.7119019200,15.6770640000,15.6190008000,15.6073881600,15.5377123200,15.4564238400,15.7351272000,15.4331985600,
Depth,15.9827504354,15.9428189658,15.9174502324,15.8733024197,15.9868812496,15.8042923156,15.9553115536,15.7922410294,15.7074957797,15.6693662545,15.6075858567,15.5944036916,15.5193321286,15.4364306089,15.7255416308,15.4138106173,
83.500,-39.205501,-34.131435,-38.466778,-40.126949,-40.109875,-34.798163,-49.386562,-39.495733,-40.588410,-34.497006,-35.015462,-50.433073,-45.727746,-43.045603,-61.502687,-61.655518,0,Fileset 1: TS pulse compressed wideband pings T1
84.000,-38.166164,-34.119607,-37.160462,-38.234890,-41.914639,-35.057037,-47.500213,-37.829597,-42.227874,-35.607949,-34.510147,-52.173320,-44.721121,-42.980865,-59.595604,-55.792597,0,Fileset 1: TS pulse compressed wideband pings T1
84.500,-37.200506,-34.323798,-36.192551,-36.548015,-43.176071,-35.269772,-46.814608,-37.092489,-42.565509,-37.432087,-34.777286,-56.898588,-44.261143,-43.094196,-55.660308,-51.640757,0,Fileset 1: TS pulse compressed wideband pings T1
85.000,-36.340501,-34.664716,-35.591212,-35.266315,-42.154971,-35.435196,-47.262180,-37.306977,-41.754140,-39.861865,-35.775076,-62.207648,-44.714926,-43.533697,-52.911710,-48.531260,0,Fileset 1: TS pulse compressed wideband pings T1
85.500,-35.610745,-34.918724,-35.322404,-34.413479,-39.817249,-35.653762,-48.910543,-38.349657,-40.714757,-42.678467,-37.110901,-57.154815,-46.260643,-44.418481,-51.425987,-46.316548,0,Fileset 1: TS pulse compressed wideband pings T1
86.000,-35.008936,-34.886241,-35.282161,-33.893163,-37.665436,-36.104613,-52.069640,-39.851129,-39.781540,-45.225656,-38.008860,-55.025147,-49.036831,-45.792215,-50.993529,-44.841337,0,Fileset 1: TS pulse compressed wideband pings T1
86.500,-34.510663,-34.567551,-35.348576,-33.562200,-35.977865,-37.015580,-57.036801,-40.910763,-38.832961,-46.017378,-38.042764,-56.204787,-53.525892,-47.618547,-51.518685,-43.954770,0,Fileset 1: TS pulse compressed wideband pings T1
87.000,-34.093454,-34.155203,-35.455550,-33.309550,-34.675299,-38.695350,-57.027355,-40.492277,-37.744920,-45.149554,-37.673883,-58.160904,-63.032715,-49.732436,-53.128556,-43.604292,0,Fileset 1: TS pulse compressed wideband pings T1
87.500,-33.769853,-33.927711,-35.662766,-33.145596,-33.691377,-41.613843,-52.493515,-39.151223,-36.678280,-43.858310,-37.528334,-53.123923,-58.298398,-51.498146,-56.382514,-43.892175,0,Fileset 1: TS pulse compressed wideband pings T1
88.000,-33.591864,-34.133646,-36.164988,-33.252507,-33.056820,-46.517676,-50.381979,-38.247261,-35.985701,-41.922033,-38.072861,-48.590507,-49.384696,-50.969678,-61.540534,-44.946294,0,Fileset 1: TS pulse compressed wideband pings T1
